1COV.DE_Volume,ADS.DE_Volume,AIR.DE_Volume,ALV.DE_Volume,BAS.DE_Volume,BMW.DE_Volume,CBK.DE_Volume,DTE.DE_Volume,EOAN.DE_Volume,HEI.DE_Volume
143414,12419,7913,36631,173441,53638,789982,356460,381285,24910
139788,22653,12307,69181,195809,86861,649167,698077,505114,28569
188684,40452,10052,99601,211133,204925,1174926,967301,1489622,39305
200318,60688,10932,109004,227065,228948,2150648,876562,681136,38840
53299,6160,7357,51384,133402,41718,329338,367873,146724,16157
168968,29157,17700,106837,276384,118601,808899,730892,709361,33392
89764,19053,9200,123936,224985,97360,1582053,639224,324088,23909
83943,17710,6414,50901,242160,125499,2067962,454934,590049,14463
50102,32356,7542,55307,239344,100872,1188673,747330,464992,27357
82123,46635,9133,87447,318586,146904,896358,1243072,338681,24095
111817,26412,5918,58415,372867,170206,938653,694312,385238,39618
162661,28685,9986,61668,474339,145660,1040786,573446,496672,48650
124402,33564,15788,43589,498345,166690,1132270,422544,510145,59673
57415,6998,6524,81322,69990,43564,247916,238819,158922,18335
187077,47282,11097,216298,677811,281307,788262,904632,636920,74544
95257,83959,7157,74175,271833,146522,790381,748642,721633,53290
112244,47030,6924,91497,327156,146025,624385,865161,825187,99254
120769,46015,7373,74838,249519,86501,309141,1008312,947569,83739
81293,38535,9809,45392,226392,81577,502990,711070,794473,49316
135836,58101,9410,73318,362105,147626,717809,970453,357420,53253
151017,80109,12216,101327,1059085,149966,1191499,961751,634433,45312
122750,54613,13009,64315,610643,246897,1104262,745928,824180,49855
71877,29285,7004,119995,261429,58344,353006,529425,573703,20744
186512,45089,25419,356044,445248,157339,1927631,1222705,1341395,47651
61254,41162,13792,184354,371499,126291,1436803,980735,1371662,35525
47196,32159,11601,109328,256214,87706,432958,646364,880061,35924
97015,23103,21064,111974,161904,59183,375540,670043,681248,35770
75197,23600,20976,78633,162420,56503,324883,489477,696735,28331
97991,46173,15865,113274,208355,101262,465019,1113029,696851,55751
108011,138504,21018,196233,606287,165741,1254655,1193422,1209395,95652
97774,151495,14807,206526,579146,271273,2648795,1316712,1697325,63663
41348,19687,4423,126812,122315,67022,384375,228680,411037,15293
103955,98891,3058,270733,357920,168682,421354,422025,1001836,75852
152792,203981,17195,242655,570296,266247,2394188,1629428,1100328,86506
203279,147114,9543,372995,902556,316937,2552652,2102882,1193915,87861
488130,224581,167879,634295,1299554,439436,1312693,4336245,3296836,238530
204060,51403,45459,321549,693154,211751,1128029,889978,864469,91682
320639,76794,30964,208648,626732,261777,1042490,848750,914942,121994
320002,98319,31031,253782,547672,308890,1253852,1171100,1091144,120896
294280,99722,30523,210395,707797,309285,786465,1172017,809212,73804
56664,27067,34587,171364,310115,87787,446227,497348,353136,58918
115822,80290,33521,164345,758955,199968,685838,1111156,901831,66844
100276,54719,30837,132785,548735,158526,518232,887410,929873,63075
119791,47882,30835,92302,379487,110404,478032,473757,613843,70456
93403,45138,27981,74845,305266,121312,751163,447327,665921,35698
61143,37375,17546,63652,308835,65426,892194,496414,829415,47942
96165,51317,8076,79463,474532,140284,886941,872915,1129560,77129
167650,70174,19716,141235,521209,170378,1065583,834802,1070239,95162
144151,61317,21300,115246,511068,196115,570039,768480,746904,51834
57455,14278,5536,46951,111871,43883,125499,234625,234867,22349
298686,60764,7986,73553,401284,139318,553715,676859,714502,62131
328946,42173,5847,84403,334709,99647,489635,522172,421864,50591
279577,40233,6133,143946,529046,89767,554381,574720,435765,32607
217051,34458,5449,108359,152752,65674,826534,528522,316951,40164
230776,28029,9274,96155,235291,108154,1091726,652400,534336,74860
398977,32567,9474,91948,397438,153315,1513072,830405,892181,55255
276452,51536,21130,126740,206900,95935,828165,907299,776010,102048
250694,40675,24828,168410,192301,92772,700269,1223156,750343,62048
168989,19656,5126,79767,232841,42242,270512,507764,194136,11460
181797,29338,7730,143527,212421,85861,405906,990330,768610,39142
120540,34901,12609,120151,180435,85342,386647,1170161,771340,32106
102069,26617,12047,67704,146237,47372,440455,652801,414433,62301
78959,33522,13496,57836,156869,55219,472925,634289,250155,41382
65589,71310,12009,57844,155763,66106,348328,623327,293504,40483
87331,35844,10680,74915,157815,115013,416072,1344961,910316,39333
147265,42425,8879,80357,262330,127647,445387,1756620,1199470,105791
163635,75427,15323,142690,554230,189488,364333,1392216,1262179,112284
39974,17761,3546,30463,105666,56203,224059,418124,183913,23932
77660,36301,7216,78430,209952,115469,382750,989986,636491,73730
68984,53649,9102,76441,210582,113270,489304,709108,498499,46713
80790,52619,5595,43446,179363,85808,535735,579487,466959,44394
69775,39347,5709,38224,105958,58955,724664,712665,477571,53769
152744,14467,6954,43959,154372,105955,573465,692270,534186,51973
158440,37918,10713,57867,310470,148678,538816,619805,576329,81096
150872,68410,13836,86973,241985,122631,473549,790040,917813,90923
132183,60773,10296,97587,199586,160306,354213,918507,1357423,98357
35525,195078,4211,40061,155575,36420,163363,329151,291895,90559
114265,300158,24698,115199,263809,67407,364317,801490,815658,65146
73600,151529,12541,75636,224083,130434,360465,670373,928252,45588
124042,110786,33619,76656,277651,111908,200777,718660,708309,48601
100895,109163,5446,102554,243398,80591,493762,624141,699101,43327
46953,158518,5315,63897,177477,56164,590702,404137,783605,123258
56866,113544,7526,72261,119843,48703,462770,526479,566154,66485
68446,120535,18851,77905,168757,86257,466245,840384,795173,67233
78260,149769,15530,61119,140311,68630,444379,807463,915656,73879
28065,27363,9670,45894,56005,25141,114192,246413,308273,27249
71974,64582,18364,71884,323964,92719,475935,622217,596237,32559
65253,67215,6725,49583,242001,80790,338346,457464,360917,44515
50204,53600,25320,74782,281817,77369,438775,666789,400066,43736
34381,57352,18331,93530,228333,62198,220802,672174,204376,38958
45026,48386,22929,71446,111781,74119,150324,472895,409818,41965
86800,64736,24423,65100,170821,97065,354435,846689,364357,68018
128653,64492,48504,69054,267224,126907,776331,1078188,718967,84146
134193,54975,43089,75699,288902,232443,881125,1719125,882699,95079
55919,15362,5422,33947,263502,52508,380717,1034741,130553,19837
102414,35176,15585,56596,717636,73270,683479,1226435,452473,39268
80349,56318,46559,67936,461075,100150,286789,857672,638042,49850
49210,44393,19969,49625,474848,78916,443141,850579,563274,50850
40047,26686,6884,34799,208851,101237,454794,605027,681391,22612
40332,180721,22175,66836,402910,149812,500536,531974,671412,36614
40891,228202,12617,72205,315629,211040,839852,650647,799144,44189
51194,117446,26013,80603,296036,216226,1438305,1039805,1452649,69105
53895,99859,9985,95769,348948,153278,708092,1349427,907064,45354
67427,40303,30842,228646,351127,222544,1521738,934400,1139347,46264
93102,83771,33521,391599,643897,325610,2858325,1368951,1022849,78956
111505,128017,24295,250007,604800,294459,1555720,2021110,1572341,119998
75823,73729,22363,224650,407643,241090,596781,1364695,853090,48399
64416,68376,11004,77300,212839,232193,446839,668137,497694,22956
51436,63705,7828,61294,334397,126684,392460,584679,436240,25487
49978,68424,5110,152635,295649,124625,632480,665285,624377,42625
89322,93225,17639,160752,496097,212533,1087643,846056,732817,59173
85334,81664,18371,193511,535850,183523,734892,1181734,950597,66388
73332,28891,7108,77877,348004,105360,375205,439618,520527,20521
147894,110842,14496,113515,486842,151164,945269,793466,1213116,76724
75244,95593,7026,89153,400924,189535,669362,707011,736514,207321
109054,62283,9584,84567,362501,182938,449191,932901,639736,129566
121147,60490,7952,116358,359554,149583,394903,1178383,899114,137117
84981,49536,43376,98120,360941,117563,503869,725220,577101,76521
128966,46819,64179,103275,280558,112859,919831,487908,441337,88182
179876,85103,23791,116549,442592,162234,783101,839625,1231445,120209
124498,63548,6867,114868,275751,152578,502423,829761,1046405,80560
28190,18771,7754,35230,264011,45834,141820,242817,361539,26257
42409,54249,20628,127034,470906,121689,415079,618417,1147814,54796
45232,41804,4621,96944,208496,85606,284948,399013,766056,41973
36508,26850,12087,60833,167694,64714,238116,668466,457985,33194
91650,39203,5689,68595,230809,103152,264215,1094012,434355,52802
69086,32713,9058,42305,216546,81640,534062,351196,300426,40677
136172,35740,23360,61652,345996,116758,1223765,1167099,556717,69952
161789,41145,24186,65411,261677,114825,1094339,911485,657537,71960
113694,42583,13673,85530,263028,120635,1029729,481083,914549,79023
21156,17936,5974,33482,77530,30497,80001,280781,141199,23153
93606,38469,3982,74672,264488,91222,562352,714020,478088,31147
126469,29433,19006,52758,198467,59540,506805,500077,432480,50534
155756,23515,11416,37612,135261,35965,523016,476029,524238,67837
52681,38665,6462,64002,183873,60366,520921,343707,489578,84079
44793,28763,15333,67754,126313,52683,574545,318989,260842,53105
60869,34792,12130,59506,165167,77402,376928,676754,357554,45315
63502,20643,8128,60342,118084,57333,495271,468087,578600,65439
74129,45318,12327,48184,151351,69192,497481,433426,599754,65050
76104,18935,3456,39157,141767,53150,333127,352903,298598,117243
44222,51078,7909,92057,243748,226396,486356,865590,905183,138490
44557,60435,12905,90508,150854,154552,469181,408383,496258,68118
19694,39759,9109,57625,179896,175393,1360331,427497,461449,52060
55630,17874,9884,35745,296771,163562,647740,287063,435218,38006
45889,35804,9935,65623,190938,125921,630468,351618,478966,45305
96351,46451,13455,71382,232541,172961,520984,615807,716780,59255
175944,88927,21366,199049,844098,386262,2477357,1534429,683969,105093
176758,68939,22075,211447,712198,383367,1522309,1243086,575787,95805
264684,86090,8321,144627,473807,313739,94853,1318188,1411036,646712
115300,78834,17567,130394,315666,213201,696989,834575,2055362,212253
50710,57842,25540,70055,255094,161980,464471,590712,1184550,76850
92693,164392,18804,120775,282609,292277,581748,444516,946349,116576
49864,35568,20258,47591,83285,146020,262785,380596,611406,69876
48497,42794,16110,59401,155305,174363,517713,402869,1202964,72169
98754,88457,14971,91697,187530,152434,1380469,935383,1232215,132646
131012,87112,24295,89057,250767,225663,2205009,1670446,1390351,152768
99435,81753,28608,66699,276119,237857,1434945,1355547,1449620,204851
57260,39199,11231,139500,320785,94163,514331,683756,440919,60779
245371,63562,6392,522492,563790,254787,1272666,1522122,1209779,125412
68620,62592,56745,227991,275260,249940,852692,1850681,763956,85979
97023,65956,24280,367881,576471,207190,834646,1523994,648166,181521
89920,54390,29355,110448,483865,123749,646867,1116975,716982,120702
81060,60020,31072,132158,431053,169262,885500,1366405,1004133,118894
115460,71000,42539,170795,397267,205417,806591,1382909,1082423,117328
189369,114473,42850,239622,594509,335849,1200764,1925390,1092130,160571
188813,95077,36187,145352,458960,371331,992998,1530818,859358,141857
66041,26288,15519,53249,141939,104904,383962,356786,190036,33182
68385,54068,21629,135975,316100,134629,608476,733671,379328,78685
136076,71555,29822,197131,477790,150093,542297,1253439,616569,57360
115594,66195,13687,108734,352682,112758,677883,831895,854809,33611
124202,30560,4720,86073,310755,92333,505032,837407,435923,35333
143254,33721,9381,109832,287013,158119,457213,1236075,384720,86522
157767,64522,8461,111096,416081,369603,811617,853456,809206,90698
538255,67196,14395,208746,2092621,261931,1036680,1230091,817850,100545
161182,60251,22975,133004,1068244,295356,799247,1100477,715599,67015
47360,18327,3571,32546,338022,70944,491616,364705,507642,28182
130993,34252,9774,89811,634836,134664,604850,1346672,712877,73223
93293,42101,30008,48135,492134,108658,548185,879373,537014,59617
83643,43853,15916,68578,495504,90066,489077,563250,399761,65908
79550,18390,5817,44654,440577,76003,330740,593236,269189,39151
603689,20235,18432,59685,362143,136688,305483,579868,358048,43077
174607,43441,20676,99160,387856,147932,487248,1360603,559594,124214
223561,52731,28866,182326,545816,237491,681458,2018939,698746,96994
157739,44086,21612,101236,504251,188236,357385,1024363,775940,42161
88561,13240,8520,28775,127826,33279,163240,259196,191752,91801
172541,27507,21134,60188,319262,80385,313601,730596,730028,216385
138594,22811,18636,59358,329313,64787,319922,1066497,354292,101844
82777,26176,18406,44858,203569,64440,256898,1439911,199316,61583
91542,14496,8494,30518,167094,80489,407976,1130255,348360,73927
79056,29713,9452,85348,378133,107264,804262,489520,534597,44894
132099,37928,8398,146736,391739,101453,783393,587680,577054,45962
178239,60763,20160,62447,567685,122267,810907,806394,407698,59009
178515,44617,17904,65180,375381,163137,812719,667012,357670,47442
48343,13991,15585,26529,86303,50252,410118,633305,157853,35898
114834,27097,14200,80099,235158,110521,763035,606678,446494,75987
94631,34122,12830,38850,167662,139842,387306,462234,268156,31944
53826,64573,9761,59600,184912,109329,250608,348068,315271,46265
59193,45477,10134,49603,126909,118975,302885,425916,429816,53429
67067,37821,10115,52166,128957,46950,334675,577838,235007,121906
91962,41419,18211,84169,226977,78513,501924,761090,283040,107727
92090,83112,16441,71861,293176,89981,635117,798012,574534,78471
67008,49826,11869,83340,387582,139428,477482,998989,1358210,84864
58702,13510,13574,49638,126622,70511,282539,544539,1265562,39085
60283,42314,23382,94361,261375,143764,637121,893691,3932793,72212
43476,40453,14427,62446,159045,95398,731265,565482,2511455,85790
77751,47030,20141,89931,203055,78706,626437,524999,1288822,50427
81700,34707,5842,70707,221233,117866,734225,467994,804923,30080
72310,32383,12353,43223,123950,97327,330910,476555,1110698,17981
86335,46252,18573,57417,243784,117965,1001211,678431,1211285,44444
131080,70035,16697,77808,297561,200367,1036537,620575,1690370,67767
106460,89978,19010,91810,369451,163460,1038758,920875,1167244,64595
27570,20505,15722,81733,136648,37851,285430,899642,457556,15078
75908,45079,9540,121712,208963,66024,523806,1155620,618782,15894
57555,66805,53120,140879,335131,165355,413983,1144668,416916,63182
70999,80763,24315,156423,519072,195100,565362,1028044,1006553,66657
166527,110432,25328,158552,540563,206217,360647,1419140,1231084,78398
109069,69996,5376,42416,143570,66138,324714,477270,440086,34059
99878,66645,8519,73137,221544,79957,740131,565142,636133,94575
195446,91205,18763,237059,644531,238408,1540125,1321180,953491,144358
92421,90797,12135,168723,388983,182394,762725,1228762,913276,88064
52890,25067,17860,109588,270299,109907,636555,645054,293149,48234
151051,122224,68011,237380,627375,230414,878857,1770164,1208721,98561
131367,94783,52251,208332,574155,299001,689789,1686418,871724,58144
121214,40858,38163,120883,387914,150719,501626,969951,589580,43469
99497,62241,23213,219849,555705,140620,567662,2056044,626113,45624
111003,78287,28351,302895,848061,184536,640787,1950508,1464746,88363
127620,77466,51617,246575,749660,181216,1301730,1702102,1252912,71303
280623,132122,56742,369576,841161,422518,1829672,4236730,1384732,188230
149970,86173,52401,243672,606105,313661,1353142,3028863,1134371,123783
64770,30233,8036,80235,280566,95193,859700,739137,478418,49870
88352,58615,24170,170728,324168,145769,415547,1528901,793040,80431
69985,42601,20695,137268,342196,136064,394658,1012781,834829,71900
71784,34349,36444,122439,551938,150465,602577,904524,417436,59378
67579,29464,18017,79544,359971,110205,299156,726170,548849,35666
60676,37030,16466,85760,298081,120527,428039,880588,304825,51137
99346,76120,50367,147435,580059,205607,664687,1110731,453499,83434
142655,114087,35595,161635,819903,346080,767608,1703827,501997,112033
110613,93333,25676,114578,398589,171795,1375294,1350928,472388,92667
42082,18692,16846,47878,107183,132087,171233,407094,271670,25890
99439,55382,37786,169670,534940,185416,780908,1386144,496273,103161
52104,46642,11168,118967,412799,128275,703162,889606,551529,74227
47883,38176,10144,103241,306730,76858,380049,776561,534013,44625
46766,38708,6316,103248,272915,67981,540481,681932,416841,41993
70506,30154,9824,120205,297302,105074,299706,818584,765523,130775
83912,64884,17920,165588,488650,225694,466188,988026,1030572,100757
83518,93588,23298,183545,680276,173256,1066166,1302465,1341950,82359
87701,57419,16547,121637,401232,149713,672373,1217591,968710,87447
27340,16739,3808,84821,142737,72951,222297,446273,457290,33454
66176,45054,28966,109751,193216,109995,640381,907898,556130,57997
38337,35286,17078,53002,145707,108414,349473,449364,432990,91987
40315,31637,6663,57856,176871,76611,324869,503446,729070,44419
67837,24416,4799,69609,225392,95169,582759,651223,644624,29622
71746,24211,15016,58556,124794,95076,933397,843769,591337,48549
61263,46868,14366,108951,249559,118002,1252710,1239206,1186916,106920
55360,51315,21670,91065,220527,117903,1868439,1795570,838390,78735
65563,57294,14917,55821,166898,85915,816893,1405914,793299,54214
90215,13553,38360,34150,82602,62150,181137,351326,253099,29030
65546,30777,32564,57082,207470,147130,637886,1157282,456213,37431
46891,43699,38802,68731,223281,77898,375782,677714,247546,33727
50282,30904,36347,62597,245780,84943,330929,671654,432770,28183
106709,56870,19349,118938,333978,129206,405151,1323157,934771,92132
52962,28126,9887,41596,170674,75537,598793,462960,290456,54646
43087,47603,14206,91951,244451,100815,1169806,672410,575862,65834
51446,50660,24805,109923,219542,150944,788947,864536,1020476,67461
64299,56206,14178,73251,235400,117060,447328,1032689,1357567,42917
26904,21274,6038,38214,106464,106527,332454,321549,214927,16784
45392,40632,6897,86471,247287,118091,836758,560249,409205,61257
43824,29716,8980,43339,128975,131735,501744,366414,304848,25798
44036,23589,9650,52416,184323,123451,384486,451963,316765,21573
57177,24244,9107,47688,203947,37791,469121,277640,274860,31004
85469,28989,11728,43062,150520,65498,563941,301897,847388,98839
39576,33967,13570,58512,112559,165207,745641,458901,458550,62175
61719,57757,18114,88501,268331,127242,1167694,496785,620531,74873
