Datetime,1COV.DE_Volume,ADS.DE_Volume,AIR.DE_Volume,ALV.DE_Volume,BAS.DE_Volume,BMW.DE_Volume,CBK.DE_Volume,DTE.DE_Volume,EOAN.DE_Volume,HEI.DE_Volume
2021-05-21 12:00:00+02:00,285771,130859,12913,213360,524383,241489,1113564,2011063,980070,75973
2021-05-21 13:00:00+02:00,331576,197054,7903,279491,564059,245535,316097,2337729,1503577,158609
2021-05-21 14:00:00+02:00,94110,55044,7124,94417,205966,90520,494268,428756,484601,61162
2021-05-21 15:00:00+02:00,93690,71067,11688,73698,261414,192019,403507,991282,495237,77686
2021-05-21 16:00:00+02:00,134460,93568,28521,117103,329267,212868,920727,1140808,765906,105769
2021-05-21 17:00:00+02:00,119497,97364,19228,104985,324049,172341,1059927,1220770,944607,108275
2021-05-25 09:00:00+02:00,83395,41135,4718,44953,193778,85475,642502,856986,301745,128993
2021-05-25 10:00:00+02:00,201660,81348,13966,122184,478589,171851,1844745,1624171,1591110,124587
2021-05-25 11:00:00+02:00,165229,48178,12507,104757,236260,217633,926208,1260022,1105820,107207
2021-05-25 12:00:00+02:00,119032,30519,9666,61163,155277,174690,1213820,902218,617065,124263
2021-05-25 13:00:00+02:00,81032,40347,12063,64525,182831,59375,581693,519503,611637,92432
2021-05-25 14:00:00+02:00,70863,41683,6022,59792,174242,42465,1052015,648904,1087009,100660
2021-05-25 15:00:00+02:00,91271,77340,7423,101662,309397,177756,1252879,1170791,1386500,138990
2021-05-25 16:00:00+02:00,144435,66764,13322,98019,426279,177633,1621526,1095253,1332309,233461
2021-05-25 17:00:00+02:00,127967,73089,9101,87209,309458,121695,1689237,1198166,1298237,281268
2021-05-26 09:00:00+02:00,27439,27264,1595,31057,119197,47921,250473,281342,349678,25172
2021-05-26 10:00:00+02:00,107920,54050,13105,99560,279359,104893,1727522,1016434,1007818,128061
2021-05-26 11:00:00+02:00,46879,71208,6488,112178,271438,93831,1731547,757298,964499,111362
2021-05-26 12:00:00+02:00,23593,48335,8269,114642,198510,92875,1350194,803824,671121,56601
2021-05-26 13:00:00+02:00,55146,62101,8755,73592,194147,56714,1715508,723360,607274,70343
2021-05-26 14:00:00+02:00,56241,77367,5788,73781,238558,97731,1657895,551111,727452,61269
2021-05-26 15:00:00+02:00,72669,50652,9782,83856,303951,135641,1375642,721922,672308,87907
2021-05-26 16:00:00+02:00,101067,104286,10546,104971,436893,203807,1250776,891114,1018264,124644
2021-05-26 17:00:00+02:00,88581,71545,12070,70433,313515,145966,711262,760849,773554,131083
2021-05-27 09:00:00+02:00,20645,37603,79242,43076,122395,35950,240132,402854,234019,13137
2021-05-27 10:00:00+02:00,71352,68226,134668,174347,424861,90931,676686,631059,839003,32960
2021-05-27 11:00:00+02:00,54530,58246,42606,84911,240925,82156,378990,606946,573705,30217
2021-05-27 12:00:00+02:00,51791,49243,42104,70039,393434,87782,246922,468147,530787,30391
2021-05-27 13:00:00+02:00,34551,33818,79196,46608,286476,69372,689100,308463,619135,28970
2021-05-27 14:00:00+02:00,40523,30657,89290,89349,272630,54955,855630,488136,1505681,128370
2021-05-27 15:00:00+02:00,163851,51397,92250,80694,360181,320009,1356893,846638,1397231,79733
2021-05-27 16:00:00+02:00,127047,77020,41987,81281,372090,236829,1738441,921733,1075414,85589
2021-05-27 17:00:00+02:00,131681,62911,30542,49783,320547,221662,1219064,834623,2232709,94507
2021-05-28 09:00:00+02:00,103022,16665,20582,33693,159715,61520,688427,767500,545022,18631
2021-05-28 10:00:00+02:00,64420,42377,32408,199239,306653,122100,629429,850902,1030514,50216
2021-05-28 11:00:00+02:00,104050,30508,20082,154104,242317,158742,327001,718392,609246,25623
2021-05-28 12:00:00+02:00,53522,30045,24077,132216,230346,105783,391650,758152,379980,23636
2021-05-28 13:00:00+02:00,85250,39244,12240,128267,244109,120465,392602,944296,1050392,50618
2021-05-28 14:00:00+02:00,42119,25676,12880,70991,147043,91932,363714,793688,842317,14104
2021-05-28 15:00:00+02:00,70069,43154,17370,102304,232603,96895,604981,794036,627379,68793
2021-05-28 16:00:00+02:00,68331,55248,19623,82255,434671,152052,635175,899357,745850,83104
2021-05-28 17:00:00+02:00,71766,44845,19130,57101,286979,113769,533740,783046,655733,51419
2021-05-31 09:00:00+02:00,33737,20194,2004,22901,56238,55106,129749,129090,217644,12684
2021-05-31 10:00:00+02:00,43039,51519,9697,79541,226800,44436,313866,541878,546341,29324
2021-05-31 11:00:00+02:00,56974,50935,7175,93560,236758,76905,176577,999147,324230,26105
2021-05-31 12:00:00+02:00,23759,35135,6585,89818,282557,59204,164610,789332,271031,25327
2021-05-31 13:00:00+02:00,29208,15656,3202,40243,116625,40232,111463,269899,311756,28739
2021-05-31 14:00:00+02:00,10020,14736,1053,35241,70746,37482,74783,223121,341045,21678
2021-05-31 15:00:00+02:00,29463,32682,2185,57719,83921,61638,215977,313573,496382,23053
2021-05-31 16:00:00+02:00,38526,28285,5923,78375,98770,58798,267816,529162,467761,38228
2021-05-31 17:00:00+02:00,56206,42776,8384,119373,297163,134566,553608,663953,576930,78471
2021-06-01 09:00:00+02:00,21949,34377,5042,24370,130894,92773,324658,347800,148647,5328
2021-06-01 10:00:00+02:00,146656,62468,39109,86321,311984,222694,899558,815337,909436,43926
2021-06-01 11:00:00+02:00,109704,81396,10797,108927,256966,163563,431629,943351,619303,43996
2021-06-01 12:00:00+02:00,161860,60045,19857,95527,167294,161603,302354,575080,481670,32795
2021-06-01 13:00:00+02:00,81306,45560,19478,130717,325882,118279,273747,588545,865336,57370
2021-06-01 14:00:00+02:00,60465,39944,32153,138527,294070,115198,271598,681116,806361,40554
2021-06-01 15:00:00+02:00,80847,35573,24734,70786,183005,100007,531146,832311,747625,51257
2021-06-01 16:00:00+02:00,128676,73621,53992,99801,253355,170518,872880,1561422,1168463,60780
2021-06-01 17:00:00+02:00,112708,85665,31954,88360,232636,142919,777876,1650028,1361477,77802
2021-06-02 09:00:00+02:00,18407,17396,11879,27382,88818,51867,860463,758525,238837,28048
2021-06-02 10:00:00+02:00,139639,26838,17517,68585,185685,169637,933303,802734,644869,56989
2021-06-02 11:00:00+02:00,29809,25045,14041,60323,98272,96860,872800,503613,511047,70355
2021-06-02 12:00:00+02:00,133773,20803,14689,55382,95242,292662,467272,626850,415221,37994
2021-06-02 13:00:00+02:00,42104,21959,9673,57165,117761,127695,621178,447803,413925,31872
2021-06-02 14:00:00+02:00,87296,31482,9345,47459,103937,103323,468048,841242,503102,17786
2021-06-02 15:00:00+02:00,83473,34506,15467,68239,166263,267277,576801,1162364,654746,48841
2021-06-02 16:00:00+02:00,97091,36374,7671,55483,194723,164099,841194,1248474,527808,61784
2021-06-02 17:00:00+02:00,85459,34806,10413,57632,160267,154796,1034341,1143259,600344,78121
2021-06-03 09:00:00+02:00,75992,6815,1627,15427,51582,36940,160691,138379,135113,16146
2021-06-03 10:00:00+02:00,89564,25301,5521,68751,171824,245952,380257,568201,467337,56925
2021-06-03 11:00:00+02:00,73395,21062,6936,56239,117076,251919,392430,358115,412001,48991
2021-06-03 12:00:00+02:00,42591,21679,5498,58399,218347,253355,318733,424707,450078,40379
2021-06-03 13:00:00+02:00,43412,27363,5133,110054,174743,179787,298781,620086,621928,46590
2021-06-03 14:00:00+02:00,47049,46176,5409,99731,157063,191425,464663,354509,481145,25506
2021-06-03 15:00:00+02:00,63887,44311,7272,227846,197384,439245,972833,481556,673112,66650
2021-06-03 16:00:00+02:00,96321,58838,10075,238258,284916,327763,1326819,763037,1364976,83358
2021-06-03 17:00:00+02:00,98237,53395,6823,85650,280617,405633,686383,634526,631382,62949
2021-06-04 09:00:00+02:00,74233,15165,3362,28237,44665,147909,213381,192983,569385,9200
2021-06-04 10:00:00+02:00,158771,49112,5463,103686,208414,354343,1254912,403535,2057802,58498
2021-06-04 11:00:00+02:00,153337,40863,2837,100305,180274,338033,611848,488937,635727,36802
2021-06-04 12:00:00+02:00,63448,34853,1925,84214,180228,288512,468331,558341,597838,32383
2021-06-04 13:00:00+02:00,57288,48429,5474,140299,286917,295749,349450,892648,737355,65026
2021-06-04 14:00:00+02:00,87836,26637,2809,48997,232838,126687,620797,223133,586637,37753
2021-06-04 15:00:00+02:00,66774,34231,4366,99676,210356,169534,832443,418685,724596,94471
2021-06-04 16:00:00+02:00,95742,40410,12686,108244,254107,214786,1046511,560561,754798,80915
2021-06-04 17:00:00+02:00,142070,46792,9147,101988,337192,228709,794061,620522,545111,78056
2021-06-07 09:00:00+02:00,34678,20642,3834,37553,121774,70394,155057,164307,266693,114792
2021-06-07 10:00:00+02:00,108420,39164,7375,86298,130752,127654,955400,395896,1010346,111728
2021-06-07 11:00:00+02:00,111219,16310,8316,48578,133843,98152,658291,372975,781443,101506
2021-06-07 12:00:00+02:00,111051,23601,8392,65047,181612,79855,396310,914656,586557,65991
2021-06-07 13:00:00+02:00,113695,28518,10329,58678,184099,110491,256352,889113,915428,56964
2021-06-07 14:00:00+02:00,120919,16222,7425,52034,117965,83149,210743,415236,773168,27916
2021-06-07 15:00:00+02:00,134911,33820,23639,96934,192539,143534,694731,1464709,771969,40058
2021-06-07 16:00:00+02:00,166161,46743,26764,170585,270715,144892,723135,1352738,839171,125642
2021-06-07 17:00:00+02:00,107060,47607,19393,133404,230046,171326,1078018,1139857,754516,134691
2021-06-08 09:00:00+02:00,75661,16099,4892,34516,159979,144777,191978,636329,513221,80428
2021-06-08 10:00:00+02:00,351494,33791,28643,83234,546914,190795,549091,799892,1058945,198542
2021-06-08 11:00:00+02:00,318855,31255,14592,116527,309292,163529,496918,1413901,481828,149797
2021-06-08 12:00:00+02:00,151657,29425,24353,111193,348707,226901,1265554,1386142,713970,100150
2021-06-08 13:00:00+02:00,153436,50435,3867,93652,384698,174497,512865,711530,478084,93860
2021-06-08 14:00:00+02:00,110702,40183,1775,52829,191025,100699,800876,768778,546486,79549
2021-06-08 15:00:00+02:00,230549,66590,4226,76767,341299,108174,734791,472666,805354,63676
2021-06-08 16:00:00+02:00,198603,66534,12313,108903,374918,179823,691455,707886,1112954,138403
2021-06-08 17:00:00+02:00,121468,76550,16420,91632,261588,175859,687136,633364,1122304,153589
2021-06-09 09:00:00+02:00,116185,13285,4735,38932,82348,82191,88129,140299,203042,18009
2021-06-09 10:00:00+02:00,310617,33371,8695,227455,435698,164961,933748,461583,1190657,58758
2021-06-09 11:00:00+02:00,154172,36174,16629,177173,502636,173138,506653,483122,793859,56740
2021-06-09 12:00:00+02:00,262984,25163,5708,79512,542703,137389,386818,392571,651662,57952
2021-06-09 13:00:00+02:00,281757,29029,5957,100743,348491,121334,574608,401509,799555,62319
2021-06-09 14:00:00+02:00,266398,56100,10164,121697,274778,152043,442089,501571,634438,47119
2021-06-09 15:00:00+02:00,271463,43240,10511,88192,250640,150854,870835,478495,535534,85754
2021-06-09 16:00:00+02:00,353536,67750,13333,140620,431224,196695,1277613,611361,637705,177739
2021-06-09 17:00:00+02:00,316152,53898,17222,129423,302644,138411,563335,949332,952837,69413
2021-06-10 09:00:00+02:00,74006,19585,3344,40505,144299,89543,340486,261453,247814,20359
2021-06-10 10:00:00+02:00,147134,40180,3854,79538,515163,206306,509545,1170338,740548,83759
2021-06-10 11:00:00+02:00,61940,94313,3917,164333,257933,192830,2348108,1323481,762946,81466
2021-06-10 12:00:00+02:00,88758,35437,7467,228351,286292,180468,2496745,1362908,884239,41026
2021-06-10 13:00:00+02:00,84783,53105,14613,118976,249740,161749,937249,966462,987550,44151
2021-06-10 14:00:00+02:00,117049,69339,9084,172950,301422,170674,1347780,1203473,778250,52517
2021-06-10 15:00:00+02:00,115760,54118,9319,281473,252267,200571,1889290,1384627,782954,46802
2021-06-10 16:00:00+02:00,123024,82120,16698,173868,322589,316005,1525216,1543989,784498,82825
2021-06-10 17:00:00+02:00,129021,83935,6579,103148,260369,257951,816250,2181681,607405,70343
2021-06-11 09:00:00+02:00,61455,17331,4097,149944,105735,52370,988752,438801,276177,18767
2021-06-11 10:00:00+02:00,84576,70976,18154,102600,279491,152604,1737924,754190,780957,44517
2021-06-11 11:00:00+02:00,70870,48065,13916,112196,251971,136419,2084904,621546,526657,27275
2021-06-11 12:00:00+02:00,60599,40775,9506,78092,162322,112973,1570087,657466,526909,23732
2021-06-11 13:00:00+02:00,89110,81065,4042,149490,401264,144487,1846272,1189308,962777,63559
2021-06-11 14:00:00+02:00,54116,92511,10778,85215,172048,76331,1080267,670314,572968,35959
2021-06-11 15:00:00+02:00,70106,98029,15405,137071,273781,104770,1137318,2104047,591143,29972
2021-06-11 16:00:00+02:00,109307,72849,15631,197922,300352,160115,1288118,1496269,604690,44742
2021-06-11 17:00:00+02:00,93478,60180,22228,141296,257932,138698,1352912,1173369,623820,36898
2021-06-14 09:00:00+02:00,23914,23443,6791,44998,223165,73844,202593,537077,762873,34684
2021-06-14 10:00:00+02:00,164271,48028,10004,75209,319614,139202,642083,734488,625835,38233
2021-06-14 11:00:00+02:00,151270,77977,6773,54414,265406,276555,1137605,869114,857652,22924
2021-06-14 12:00:00+02:00,163444,31984,4331,115730,168521,113755,845278,499153,434336,28408
2021-06-14 13:00:00+02:00,151507,19010,6002,97830,163755,40470,615762,333760,469099,38054
2021-06-14 14:00:00+02:00,143414,12419,7913,36631,173441,53638,789982,356460,381285,24910
2021-06-14 15:00:00+02:00,139788,22653,12307,69181,195809,86861,649167,698077,505114,28569
2021-06-14 16:00:00+02:00,188684,40452,10052,99601,211133,204925,1174926,967301,1489622,39305
2021-06-14 17:00:00+02:00,200318,60688,10932,109004,227065,228948,2150648,876562,681136,38840
2021-06-15 09:00:00+02:00,53299,6160,7357,51384,133402,41718,329338,367873,146724,16157
2021-06-15 10:00:00+02:00,168968,29157,17700,106837,276384,118601,808899,730892,709361,33392
2021-06-15 11:00:00+02:00,89764,19053,9200,123936,224985,97360,1582053,639224,324088,23909
2021-06-15 12:00:00+02:00,83943,17710,6414,50901,242160,125499,2067962,454934,590049,14463
2021-06-15 13:00:00+02:00,50102,32356,7542,55307,239344,100872,1188673,747330,464992,27357
2021-06-15 14:00:00+02:00,82123,46635,9133,87447,318586,146904,896358,1243072,338681,24095
2021-06-15 15:00:00+02:00,111817,26412,5918,58415,372867,170206,938653,694312,385238,39618
2021-06-15 16:00:00+02:00,162661,28685,9986,61668,474339,145660,1040786,573446,496672,48650
2021-06-15 17:00:00+02:00,124402,33564,15788,43589,498345,166690,1132270,422544,510145,59673
2021-06-16 09:00:00+02:00,57415,6998,6524,81322,69990,43564,247916,238819,158922,18335
2021-06-16 10:00:00+02:00,187077,47282,11097,216298,677811,281307,788262,904632,636920,74544
2021-06-16 11:00:00+02:00,95257,83959,7157,74175,271833,146522,790381,748642,721633,53290
2021-06-16 12:00:00+02:00,112244,47030,6924,91497,327156,146025,624385,865161,825187,99254
2021-06-16 13:00:00+02:00,120769,46015,7373,74838,249519,86501,309141,1008312,947569,83739
2021-06-16 14:00:00+02:00,81293,38535,9809,45392,226392,81577,502990,711070,794473,49316
2021-06-16 15:00:00+02:00,135836,58101,9410,73318,362105,147626,717809,970453,357420,53253
2021-06-16 16:00:00+02:00,151017,80109,12216,101327,1059085,149966,1191499,961751,634433,45312
2021-06-16 17:00:00+02:00,122750,54613,13009,64315,610643,246897,1104262,745928,824180,49855
2021-06-17 09:00:00+02:00,71877,29285,7004,119995,261429,58344,353006,529425,573703,20744
2021-06-17 10:00:00+02:00,186512,45089,25419,356044,445248,157339,1927631,1222705,1341395,47651
2021-06-17 11:00:00+02:00,61254,41162,13792,184354,371499,126291,1436803,980735,1371662,35525
2021-06-17 12:00:00+02:00,47196,32159,11601,109328,256214,87706,432958,646364,880061,35924
2021-06-17 13:00:00+02:00,97015,23103,21064,111974,161904,59183,375540,670043,681248,35770
2021-06-17 14:00:00+02:00,75197,23600,20976,78633,162420,56503,324883,489477,696735,28331
2021-06-17 15:00:00+02:00,97991,46173,15865,113274,208355,101262,465019,1113029,696851,55751
2021-06-17 16:00:00+02:00,108011,138504,21018,196233,606287,165741,1254655,1193422,1209395,95652
2021-06-17 17:00:00+02:00,97774,151495,14807,206526,579146,271273,2648795,1316712,1697325,63663
2021-06-18 09:00:00+02:00,41348,19687,4423,126812,122315,67022,384375,228680,411037,15293
2021-06-18 10:00:00+02:00,103955,98891,3058,270733,357920,168682,421354,422025,1001836,75852
2021-06-18 11:00:00+02:00,152792,203981,17195,242655,570296,266247,2394188,1629428,1100328,86506
2021-06-18 12:00:00+02:00,203279,147114,9543,372995,902556,316937,2552652,2102882,1193915,87861
2021-06-18 13:00:00+02:00,488130,224581,167879,634295,1299554,439436,1312693,4336245,3296836,238530
2021-06-18 14:00:00+02:00,204060,51403,45459,321549,693154,211751,1128029,889978,864469,91682
2021-06-18 15:00:00+02:00,320639,76794,30964,208648,626732,261777,1042490,848750,914942,121994
2021-06-18 16:00:00+02:00,320002,98319,31031,253782,547672,308890,1253852,1171100,1091144,120896
2021-06-18 17:00:00+02:00,294280,99722,30523,210395,707797,309285,786465,1172017,809212,73804
2021-06-21 09:00:00+02:00,56664,27067,34587,171364,310115,87787,446227,497348,353136,58918
2021-06-21 10:00:00+02:00,115822,80290,33521,164345,758955,199968,685838,1111156,901831,66844
2021-06-21 11:00:00+02:00,100276,54719,30837,132785,548735,158526,518232,887410,929873,63075
2021-06-21 12:00:00+02:00,119791,47882,30835,92302,379487,110404,478032,473757,613843,70456
2021-06-21 13:00:00+02:00,93403,45138,27981,74845,305266,121312,751163,447327,665921,35698
2021-06-21 14:00:00+02:00,61143,37375,17546,63652,308835,65426,892194,496414,829415,47942
2021-06-21 15:00:00+02:00,96165,51317,8076,79463,474532,140284,886941,872915,1129560,77129
2021-06-21 16:00:00+02:00,167650,70174,19716,141235,521209,170378,1065583,834802,1070239,95162
2021-06-21 17:00:00+02:00,144151,61317,21300,115246,511068,196115,570039,768480,746904,51834
2021-06-22 09:00:00+02:00,57455,14278,5536,46951,111871,43883,125499,234625,234867,22349
2021-06-22 10:00:00+02:00,298686,60764,7986,73553,401284,139318,553715,676859,714502,62131
2021-06-22 11:00:00+02:00,328946,42173,5847,84403,334709,99647,489635,522172,421864,50591
2021-06-22 12:00:00+02:00,279577,40233,6133,143946,529046,89767,554381,574720,435765,32607
2021-06-22 13:00:00+02:00,217051,34458,5449,108359,152752,65674,826534,528522,316951,40164
2021-06-22 14:00:00+02:00,230776,28029,9274,96155,235291,108154,1091726,652400,534336,74860
2021-06-22 15:00:00+02:00,398977,32567,9474,91948,397438,153315,1513072,830405,892181,55255
2021-06-22 16:00:00+02:00,276452,51536,21130,126740,206900,95935,828165,907299,776010,102048
2021-06-22 17:00:00+02:00,250694,40675,24828,168410,192301,92772,700269,1223156,750343,62048
2021-06-23 09:00:00+02:00,168989,19656,5126,79767,232841,42242,270512,507764,194136,11460
2021-06-23 10:00:00+02:00,181797,29338,7730,143527,212421,85861,405906,990330,768610,39142
2021-06-23 11:00:00+02:00,120540,34901,12609,120151,180435,85342,386647,1170161,771340,32106
2021-06-23 12:00:00+02:00,102069,26617,12047,67704,146237,47372,440455,652801,414433,62301
2021-06-23 13:00:00+02:00,78959,33522,13496,57836,156869,55219,472925,634289,250155,41382
2021-06-23 14:00:00+02:00,65589,71310,12009,57844,155763,66106,348328,623327,293504,40483
2021-06-23 15:00:00+02:00,87331,35844,10680,74915,157815,115013,416072,1344961,910316,39333
2021-06-23 16:00:00+02:00,147265,42425,8879,80357,262330,127647,445387,1756620,1199470,105791
2021-06-23 17:00:00+02:00,163635,75427,15323,142690,554230,189488,364333,1392216,1262179,112284
2021-06-24 09:00:00+02:00,39974,17761,3546,30463,105666,56203,224059,418124,183913,23932
2021-06-24 10:00:00+02:00,77660,36301,7216,78430,209952,115469,382750,989986,636491,73730
2021-06-24 11:00:00+02:00,68984,53649,9102,76441,210582,113270,489304,709108,498499,46713
2021-06-24 12:00:00+02:00,80790,52619,5595,43446,179363,85808,535735,579487,466959,44394
2021-06-24 13:00:00+02:00,69775,39347,5709,38224,105958,58955,724664,712665,477571,53769
2021-06-24 14:00:00+02:00,152744,14467,6954,43959,154372,105955,573465,692270,534186,51973
2021-06-24 15:00:00+02:00,158440,37918,10713,57867,310470,148678,538816,619805,576329,81096
2021-06-24 16:00:00+02:00,150872,68410,13836,86973,241985,122631,473549,790040,917813,90923
2021-06-24 17:00:00+02:00,132183,60773,10296,97587,199586,160306,354213,918507,1357423,98357
2021-06-25 09:00:00+02:00,35525,195078,4211,40061,155575,36420,163363,329151,291895,90559
2021-06-25 10:00:00+02:00,114265,300158,24698,115199,263809,67407,364317,801490,815658,65146
2021-06-25 11:00:00+02:00,73600,151529,12541,75636,224083,130434,360465,670373,928252,45588
2021-06-25 12:00:00+02:00,124042,110786,33619,76656,277651,111908,200777,718660,708309,48601
2021-06-25 13:00:00+02:00,100895,109163,5446,102554,243398,80591,493762,624141,699101,43327
2021-06-25 14:00:00+02:00,46953,158518,5315,63897,177477,56164,590702,404137,783605,123258
2021-06-25 15:00:00+02:00,56866,113544,7526,72261,119843,48703,462770,526479,566154,66485
2021-06-25 16:00:00+02:00,68446,120535,18851,77905,168757,86257,466245,840384,795173,67233
2021-06-25 17:00:00+02:00,78260,149769,15530,61119,140311,68630,444379,807463,915656,73879
2021-06-28 09:00:00+02:00,28065,27363,9670,45894,56005,25141,114192,246413,308273,27249
2021-06-28 10:00:00+02:00,71974,64582,18364,71884,323964,92719,475935,622217,596237,32559
2021-06-28 11:00:00+02:00,65253,67215,6725,49583,242001,80790,338346,457464,360917,44515
2021-06-28 12:00:00+02:00,50204,53600,25320,74782,281817,77369,438775,666789,400066,43736
2021-06-28 13:00:00+02:00,34381,57352,18331,93530,228333,62198,220802,672174,204376,38958
2021-06-28 14:00:00+02:00,45026,48386,22929,71446,111781,74119,150324,472895,409818,41965
2021-06-28 15:00:00+02:00,86800,64736,24423,65100,170821,97065,354435,846689,364357,68018
2021-06-28 16:00:00+02:00,128653,64492,48504,69054,267224,126907,776331,1078188,718967,84146
2021-06-28 17:00:00+02:00,134193,54975,43089,75699,288902,232443,881125,1719125,882699,95079
2021-06-29 09:00:00+02:00,55919,15362,5422,33947,263502,52508,380717,1034741,130553,19837
2021-06-29 10:00:00+02:00,102414,35176,15585,56596,717636,73270,683479,1226435,452473,39268
2021-06-29 11:00:00+02:00,80349,56318,46559,67936,461075,100150,286789,857672,638042,49850
2021-06-29 12:00:00+02:00,49210,44393,19969,49625,474848,78916,443141,850579,563274,50850
2021-06-29 13:00:00+02:00,40047,26686,6884,34799,208851,101237,454794,605027,681391,22612
2021-06-29 14:00:00+02:00,40332,180721,22175,66836,402910,149812,500536,531974,671412,36614
2021-06-29 15:00:00+02:00,40891,228202,12617,72205,315629,211040,839852,650647,799144,44189
2021-06-29 16:00:00+02:00,51194,117446,26013,80603,296036,216226,1438305,1039805,1452649,69105
2021-06-29 17:00:00+02:00,53895,99859,9985,95769,348948,153278,708092,1349427,907064,45354
2021-06-30 09:00:00+02:00,67427,40303,30842,228646,351127,222544,1521738,934400,1139347,46264
2021-06-30 10:00:00+02:00,93102,83771,33521,391599,643897,325610,2858325,1368951,1022849,78956
2021-06-30 11:00:00+02:00,111505,128017,24295,250007,604800,294459,1555720,2021110,1572341,119998
2021-06-30 12:00:00+02:00,75823,73729,22363,224650,407643,241090,596781,1364695,853090,48399
2021-06-30 13:00:00+02:00,64416,68376,11004,77300,212839,232193,446839,668137,497694,22956
2021-06-30 14:00:00+02:00,51436,63705,7828,61294,334397,126684,392460,584679,436240,25487
2021-06-30 15:00:00+02:00,49978,68424,5110,152635,295649,124625,632480,665285,624377,42625
2021-06-30 16:00:00+02:00,89322,93225,17639,160752,496097,212533,1087643,846056,732817,59173
2021-06-30 17:00:00+02:00,85334,81664,18371,193511,535850,183523,734892,1181734,950597,66388
2021-07-01 09:00:00+02:00,73332,28891,7108,77877,348004,105360,375205,439618,520527,20521
2021-07-01 10:00:00+02:00,147894,110842,14496,113515,486842,151164,945269,793466,1213116,76724
2021-07-01 11:00:00+02:00,75244,95593,7026,89153,400924,189535,669362,707011,736514,207321
2021-07-01 12:00:00+02:00,109054,62283,9584,84567,362501,182938,449191,932901,639736,129566
2021-07-01 13:00:00+02:00,121147,60490,7952,116358,359554,149583,394903,1178383,899114,137117
