1COV.DE_Volume,ADS.DE_Volume,AIR.DE_Volume,ALV.DE_Volume,BAS.DE_Volume,BMW.DE_Volume,CBK.DE_Volume,DTE.DE_Volume,EOAN.DE_Volume,HEI.DE_Volume
576260,464536,0,94078,1392760,824200,216503,2956000,3678340,3323
440792,1287372,0,443034,1965406,1146600,435253,1854000,4992942,3323
938283,1010064,0,505412,1725098,470600,950370,1752000,5025147,4563
688848,1746488,0,374521,2180148,912600,493154,1604000,4895703,8086
1022300,781580,0,231104,1673970,1661400,305351,1913000,4987699,15286
969686,1090128,0,128334,1331404,1102400,335175,1619000,4547664,1827
479440,1411104,0,91521,2340694,1071200,163469,1106000,3117415,4541
348075,1381880,133,62889,685132,629200,91967,1428000,2471466,3683
600613,2618772,0,147508,1054284,704600,238216,868000,4119821,1804
247955,1393312,0,166170,1486836,663000,169584,1516000,11480844,664
6433043,1514688,0,161568,1499108,1391000,110809,980000,6194526,1218
654099,1350280,0,108394,1138136,1040000,124286,340000,3602173,510
785354,2078292,0,169749,1345720,1287000,174825,2012000,3545285,553
698147,1970268,0,162846,1349902,1453400,185307,1955000,4706707,2847
631910,831772,0,200682,1237326,876200,181563,2022000,3120278,10515
567832,497052,0,205795,1115638,1742000,551928,2182000,4254944,8041
441836,1268316,0,82574,1030764,728000,452099,1565000,3730786,2215
623522,744928,0,80273,2063574,210600,244705,1985000,4381991,1661
614240,797220,0,188411,2627018,1664000,268165,2981000,2884712,4109
617136,746160,0,110695,3233410,1008800,161223,2273000,6229495,1107
777843,875260,35,150575,2555436,998400,153361,1399000,12614984,4873
711701,451004,0,208863,3090248,806000,290876,1201000,4003128,1883
682020,732252,0,123988,2086070,1242800,318703,1043000,5095937,553
2802874,566332,0,50618,376310,494000,110560,1364000,3421052,1163
650345,372404,0,34001,6691788,639600,41054,1745000,5799791,753
669874,344180,0,195569,2830512,652600,353019,966000,3716767,0
739784,591124,0,161313,53174,410800,2370,1077000,4368102,0
820955,772404,0,524330,6629410,377000,644394,548000,5457042,3472
1853705,529500,0,549383,5980070,470600,526846,1578000,0,1107
989343,547212,0,460674,7130476,1029600,708534,1169000,7245356,1329
683903,2394996,0,65957,1147338,790400,118796,1253000,28538284,6537
