1COV.DE_Volume,ADS.DE_Volume,AIR.DE_Volume,ALV.DE_Volume,BAS.DE_Volume,BMW.DE_Volume,CBK.DE_Volume,DTE.DE_Volume,EOAN.DE_Volume,HEI.DE_Volume
43,126,683,531,5274,403,5660,3065,8256,1123
608,89,1883,425,11051,989,6523,7,10776,1254
150,2,610,1849,12846,1826,2366,5383,1074,399
538,418,2384,54,2506,822,4827,2551,10959,232
692,213,509,106,3594,287,2299,3325,1454,299
3152,344,3169,1392,15838,974,1110,4166,5606,138
947,63,115,123,4791,2118,553,455,1000,148
2857,384,766,134,1650,1273,16537,3416,9057,48
9560,40,1718,1381,4405,2938,21338,4982,2987,807
6851,3204,220,603,6854,196,3298,607,2583,134
6117,5503,2404,632,7310,391,351,6035,2303,36
705,365,152,962,31608,1181,122,15390,4922,561
584,14,366,1,1907,172,23499,136,1695,92
297,144,54,532,1118,1959,2798,11352,3104,346
26,115,1524,20,1064,932,8231,16666,2912,151
3920,336,83,189,2630,374,18972,6787,665,388
9264,84,349,165,4750,1000,2137,2668,200,797
0,118,1652,756,332,65,2299,3417,20878,289
376542,1180,93,12,227,3977,4470,6289,2552,129
2713,689,589,695,602,409,1094,7089,13295,61
3239,274,1078,232,5512,1344,2362,14919,140,315
475,76,144,206,1495,1825,1496,9607,2239,427
357,67,339,88,1213,755,920,7466,2407,397
4362,231,108,119,448,2967,4821,4277,3005,125
1614,267,710,70,17,130,3253,195,7914,597
125,802,142,6,1845,746,3801,1494,77,828
690,308,145,462,95,50,29052,200,19574,324
2744,2017,2065,4752,107,596,6438,2216,4847,62
651,5297,769,1820,2500,2813,5307,3426,3009,312
353,813,398,2632,8783,1258,5987,2113,10492,438
277,926,376,73,3213,4166,0,25245,16758,308
5483,485,4296,687,2894,1871,3363606,22079,32480,566
228,49,337,56,689,6895,28327,2788,767,118
862,120,83,866,571,719,10452,4559,16591,267
1623,51,39,3776,8351,8988,5536,14244,0,605
24,275,194,3298,736,597,23745,12653,4317951,862
447,1511,50,4236,750,2015,11225,6360,5442,202
117,628,290,5741,5255,315,1961,10150,7118,1227
907,1032,2846,2069,10076,4837,13426,6239,785,182
726,2876,680,1520,4221,476,19055,9656,7927,300
778,139,300,293,484,799,10098,1269,1042,351
1186,299,217,1268,383,695,16971,12928,3494,437
216,334,691,1325,1583,1840,19580,16902,12221,1420
545,866,730,2422,1094,152,1186,10966,6158,410
105,260,97,8871,4303,52,6270,3961,7106,360
506,74,291,6707,750,1612,1033,5563,48982,386
1403,585,65,4849,2771,5343,4721,1931,3323,1289
382,976,205,3644,4415,1611,4793,74,3464,129
288,1156,100,2503,2745,98,9011,16903,4630,439
130,278,2703,2667,531,1829,1517,13724,2732,319
53,34,1659,3066,2810,1686,4886,10070,10913,474
2619,38,240,371,2991,1660,5344,9466,9760,355
2134,1721,348,1874,595,543,3389,1303,1674,129
3257,707,1052,5079,3678,1052,7022,89,3783,342
4479,160,1609,1680,523,3726,9988,9644,1009,322
2067,581,301,1438,950,309,2583,7579,2587,1009
1415,356,1297,5859,2787,2056,6556,6015,6870,336
2528,1984,48,4224,660,364,13456,1195,17059,826
879,83,778,1294,6464,532,10712,5562,13689,238
2646,111,1985,3381,347,2999,16780,661,3754,278
1801,209,436,2603,1783,621,6873,1324,2132,314
438,530,0,2669,64,2637,7658,599,72997,271
249,221,62153,5533,2375,657,1214,15521,21619,2844
652,1021,171,353,5592,2407,14203,9368,1553,431
361,95,175,1811,2490,1315,9073,22559,78206,472
688,183,57,772,3424,1330,16408,13380,1408,929
1540,113,195,6601,2062,1061,5013,10758,62583,131
1672,1899,42,2097,8057,5073,19149,1348,4479,342
3235,866,120,3527,1842,851,2917,1080,21541,815
80,96,904,2806,8262,857,5323,8035,23374,843
1329,118,130,7896,2110,941,1374,7172,25947,532
1601,208,30,2203,6522,2690,2534,19417,8224,341
29,193,187,1355,1623,1069,1439,4640,10318,317
40,116,1311,3228,1200,1924,2517,3647,4934,542
1381,204,61,5822,2120,2056,4260,2591,5176,24
3421,18,83,169,1061,844,50,6820,13006,201
1405,161,32,1534,2833,2391,1760,1823,29409,1632
796,645,239,749,33,371,1118,3505,29452,484
414,530,328,1402,1596,2653,2885,3250,521,1606
109,196,29,771,1744,1015,31261,4077,6446,486
29,177,330,653,1948,856,9012,1441,2568,825
2844,59,379,873,9893,330,12093,1906,2030,479
166,1010,71,895,1615,1359,3805,3303,19899,511
480,492,353,641,8199,646,20071,1173,12778,490
69,480,83,2091,6178,480,83359,2890,1576,556
240,231,30,2850,805,1334,5951,21,9748,1780
100,2232,43,778,82,990,15092,3941,8082,192
