,,,,,,,,,
,1.183,2.212,7.944,8.343,2.558,0.581,0.533,0.091,1.612
,1.427,2.125,8.216,8.305,2.897,0.649,0.235,0.099,1.771
,1.086,1.908,19.781,8.154,2.789,0.671,0.297,0.1,1.523
,8.31,2.05,15.141,8.278,2.3,0.61,2.354,0.132,2.178
,1.312,2.259,12.46,8.25,2.632,0.532,0.656,8.072,1.827
,1.082,2.365,13.237,8.297,3.257,0.465,0.384,4.977,1.855
,0.99,2.211,11.803,8.233,2.79,0.529,0.388,5.858,1.703
,0.779,2.189,8.602,8.265,2.272,0.628,0.27,5.503,1.706
,0.542,2.233,7.218,8.264,5.963,0.556,0.106,4.063,1.745
,3.71,2.455,12.763,8.185,4.355,0.573,0.064,4.61,1.846
,0.455,2.208,13.789,8.236,4.329,0.563,0.034,3.723,1.877
,3.721,2.473,14.128,8.154,4.442,0.531,0.076,3.41,1.674
,5.529,2.527,19.008,8.203,6.09,0.545,5.646,4.061,1.856
,1.851,2.291,7.099,8.257,5.949,0.648,2.559,4.172,1.815
,1.24,2.244,6.327,8.02,5.503,0.557,2.458,3.595,1.83
,1.378,2.181,29.615,8.148,5.659,0.562,2.12,2.953,1.739
,1.581,2.171,17.895,8.123,5.853,0.534,2.306,2.807,1.769
,2.238,2.332,12.965,8.158,5.63,0.56,9.514,2.048,1.746
,0.412,2.278,15.288,8.168,6.129,0.531,6.298,2.083,1.821
,1.158,2.186,15.753,8.285,7.106,0.579,11.883,2.343,1.775
,2.096,2.202,15.298,8.253,7.8,0.561,2.864,2.378,1.828
,2.409,2.276,19.136,8.233,8.165,0.556,6.054,2.246,1.102
,2.028,2.449,15.727,8.203,8.587,0.636,3.425,2.453,1.433
,2.052,2.283,18.55,8.176,8.349,2.231,1.261,2.361,3.19
,0.645,2.292,14.591,8.096,8.192,1.018,3.358,2.28,3.186
,0.498,2.359,14.304,8.029,7.534,0.951,2.224,2.215,31.414
,2.515,2.447,14.25,8.116,5.372,0.985,4.141,2.091,0.032
,2.027,2.412,14.162,8.068,4.619,0.93,5.127,1.964,0.168
,2.259,7.595,21.096,8.075,3.929,1.104,3.518,1.737,0.015
,2.22,2.872,48.614,8.025,3.524,1.061,2.893,1.809,0.101
,49.102,4.459,70.14,8.122,3.314,1.106,2.051,1.613,0.053
,43.612,5.195,131.031,7.919,3.273,36.267,4.557,1.495,0.065
,11.067,5.618,22.842,7.96,2.507,4.037,4.63,1.621,0.108
,2.645,5.477,65.913,8.018,2.353,5.169,5.151,1.738,0.073
,4.94,10.096,99.06,7.966,2.242,8.485,5.48,1.767,0.076
,20.904,2.442,90.63,7.924,2.091,6.36,3.738,1.851,0.079
,4.05,2.37,50.298,8.017,2.176,10.604,9.713,2.162,0.036
,1.579,1.456,36.253,8.314,2.174,4.241,2.274,2.159,0.06
,17.466,1.744,38.988,17.671,2.136,10.025,1.952,2.248,0.154
,14.42,3.84,39.951,9.087,2.025,2.697,0.647,2.446,0.026
,4.769,3.36,40.078,2.96,1.589,11.884,0.669,2.283,0.018
