time,acc,light,moderate-vigorous,sedentary,sleep,MET
2014-05-14 11:19:03.160000+0100 [Europe/London],13.61,0,0,1,0,1.56349206349206
2014-05-14 11:19:33.160000+0100 [Europe/London],26.259,0,0,1,0,1.56349206349206
2014-05-14 11:20:03.160000+0100 [Europe/London],24.081,0,0,1,0,1.56349206349206
2014-05-14 11:20:33.160000+0100 [Europe/London],10.814,0,0,1,0,1.56349206349206
2014-05-14 11:21:03.160000+0100 [Europe/London],18.603,0,0,1,0,1.56349206349206
2014-05-14 11:21:33.160000+0100 [Europe/London],17.374,0,0,1,0,1.56349206349206
2014-05-14 11:22:03.160000+0100 [Europe/London],27.015,0,0,1,0,1.56349206349206
2014-05-14 11:22:33.160000+0100 [Europe/London],18.178,0,0,1,0,1.56349206349206
2014-05-14 11:23:03.160000+0100 [Europe/London],29.955,0,0,1,0,1.56349206349206
2014-05-14 11:23:33.160000+0100 [Europe/London],31.043,0,0,1,0,1.56349206349206
2014-05-14 11:24:03.160000+0100 [Europe/London],36.941,0,0,1,0,1.56349206349206
2014-05-14 11:24:33.160000+0100 [Europe/London],3.261,0,0,1,0,1.56349206349206
2014-05-14 11:25:03.160000+0100 [Europe/London],30.71,0,0,1,0,1.56349206349206
2014-05-14 11:25:33.160000+0100 [Europe/London],24.949,0,0,1,0,1.56349206349206
2014-05-14 11:26:03.160000+0100 [Europe/London],35.81,0,0,1,0,1.56349206349206
2014-05-14 11:26:33.160000+0100 [Europe/London],27.734,0,0,1,0,1.56349206349206
2014-05-14 11:27:03.160000+0100 [Europe/London],37.025,0,0,1,0,1.56349206349206
2014-05-14 11:27:33.160000+0100 [Europe/London],29.868,0,0,1,0,1.56349206349206
2014-05-14 11:28:03.160000+0100 [Europe/London],33.134,0,0,1,0,1.56349206349206
2014-05-14 11:28:33.160000+0100 [Europe/London],37.113,0,0,1,0,1.56349206349206
2014-05-14 11:29:03.160000+0100 [Europe/London],34.916,0,0,1,0,1.56349206349206
2014-05-14 11:29:33.160000+0100 [Europe/London],40.137,0,0,1,0,1.56349206349206
2014-05-14 11:30:03.160000+0100 [Europe/London],35.909,0,0,1,0,1.56349206349206
2014-05-14 11:30:33.160000+0100 [Europe/London],22.044,0,0,1,0,1.56349206349206
2014-05-14 11:31:03.160000+0100 [Europe/London],27.894,0,0,1,0,1.56349206349206
2014-05-14 11:31:33.160000+0100 [Europe/London],39.814,0,0,1,0,1.56349206349206
2014-05-14 11:32:03.160000+0100 [Europe/London],44.897,0,0,1,0,1.56349206349206
2014-05-14 11:32:33.160000+0100 [Europe/London],41.105,0,0,1,0,1.56349206349206
2014-05-14 11:33:03.160000+0100 [Europe/London],25.318,0,0,1,0,1.56349206349206
2014-05-14 11:33:33.160000+0100 [Europe/London],31.282,0,0,1,0,1.56349206349206
2014-05-14 11:34:03.160000+0100 [Europe/London],29.098,0,0,1,0,1.56349206349206
2014-05-14 11:34:33.160000+0100 [Europe/London],36.128,0,0,1,0,1.56349206349206
2014-05-14 11:35:03.160000+0100 [Europe/London],19.082,0,0,1,0,1.56349206349206
2014-05-14 11:35:33.160000+0100 [Europe/London],25.231,0,0,1,0,1.56349206349206
2014-05-14 11:36:03.160000+0100 [Europe/London],36.152,0,0,1,0,1.56349206349206
2014-05-14 11:36:33.160000+0100 [Europe/London],28.712,0,0,1,0,1.56349206349206
2014-05-14 11:37:03.160000+0100 [Europe/London],26.81,0,0,1,0,1.56349206349206
2014-05-14 11:37:33.160000+0100 [Europe/London],22.965,0,0,1,0,1.56349206349206
2014-05-14 11:38:03.160000+0100 [Europe/London],29.65,0,0,1,0,1.56349206349206
2014-05-14 11:38:33.160000+0100 [Europe/London],27.099,0,0,1,0,1.56349206349206
