acc,light,moderate-vigorous,sedentary,sleep,MET
0.65,0,0,1,0,1.56349206349206
17.26,0,0,1,0,1.56349206349206
0.486,0,0,1,0,1.56349206349206
0.508,0,0,1,0,1.56349206349206
0.71,0,0,1,0,1.56349206349206
0.726,0,0,1,0,1.56349206349206
0.349,0,0,1,0,1.56349206349206
0.363,0,0,1,0,1.56349206349206
10.877,0,0,1,0,1.56349206349206
1.372,0,0,1,0,1.56349206349206
20.214,0,0,1,0,1.56349206349206
8.893,0,0,1,0,1.56349206349206
1.329,0,0,1,0,1.56349206349206
1.714,0,0,1,0,1.56349206349206
0.24,0,0,1,0,1.56349206349206
0.419,0,0,1,0,1.56349206349206
0.746,0,0,1,0,1.56349206349206
0.798,0,0,1,0,1.56349206349206
15.862,0,0,1,0,1.56349206349206
6.181,0,0,1,0,1.56349206349206
0.552,0,0,1,0,1.56349206349206
1.331,0,0,1,0,1.56349206349206
0.708,0,0,1,0,1.56349206349206
1.421,0,0,1,0,1.56349206349206
1.402,0,0,1,0,1.56349206349206
0.447,0,0,1,0,1.56349206349206
0.886,0,0,1,0,1.56349206349206
0.797,0,0,1,0,1.56349206349206
0.69,0,0,1,0,1.56349206349206
94.721,1,0,0,0,2.27083333333333
153.92,1,0,0,0,2.27083333333333
142.817,1,0,0,0,2.27083333333333
92.94,1,0,0,0,2.27083333333333
73.288,1,0,0,0,2.27083333333333
72.217,1,0,0,0,2.27083333333333
31.266,1,0,0,0,2.27083333333333
66.961,1,0,0,0,2.27083333333333
81,1,0,0,0,2.27083333333333
64.527,1,0,0,0,2.27083333333333
320.481,1,0,0,0,2.27083333333333
89.428,1,0,0,0,2.27083333333333
83.392,1,0,0,0,2.27083333333333
33.976,1,0,0,0,2.27083333333333
84.779,1,0,0,0,2.27083333333333
93.571,1,0,0,0,2.27083333333333
92.224,1,0,0,0,2.27083333333333
123.847,1,0,0,0,2.27083333333333
72.275,1,0,0,0,2.27083333333333
65.15,1,0,0,0,2.27083333333333
118.502,1,0,0,0,2.27083333333333
152.182,1,0,0,0,2.27083333333333
113.927,1,0,0,0,2.27083333333333
86.258,1,0,0,0,2.27083333333333
61.124,1,0,0,0,2.27083333333333
108.384,1,0,0,0,2.27083333333333
57.549,1,0,0,0,2.27083333333333
75.898,1,0,0,0,2.27083333333333
77.633,1,0,0,0,2.27083333333333
56.697,1,0,0,0,2.27083333333333
97.202,1,0,0,0,2.27083333333333
74.663,1,0,0,0,2.27083333333333
51.52,1,0,0,0,2.27083333333333
72.331,1,0,0,0,2.27083333333333
45.325,1,0,0,0,2.27083333333333
56.315,1,0,0,0,2.27083333333333
70.156,1,0,0,0,2.27083333333333
42.662,1,0,0,0,2.27083333333333
